Ref,Val,Package,PosX,PosY,Rot,Side
"SW18","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",146.460000,-104.940000,90.000000,top
"SW18","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",62.504466,-1.095534,-90.000000,top
"SW19","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",55.504466,12.904466,-90.000000,top
"SW19","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",153.460000,-118.940000,90.000000,top
"SW20","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",41.504466,12.904466,-90.000000,top
"SW20","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",167.460000,-118.940000,90.000000,top
"SW21","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",34.504466,-1.095534,-90.000000,top
"SW21","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",174.460000,-104.940000,90.000000,top
"SW22","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",27.504466,12.904466,-90.000000,top
"SW22","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",181.460000,-118.940000,90.000000,top
"SW23","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",188.460000,-104.940000,90.000000,top
"SW23","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",20.504466,-1.095534,-90.000000,top
"SW24","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",195.460000,-118.940000,90.000000,top
"SW24","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",13.504466,12.904466,-90.000000,top
"SW25","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",16.504466,-34.595534,-90.000000,top
"SW25","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",192.460000,-71.440000,90.000000,top
"SW26","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",181.960000,-71.440000,90.000000,top
"SW26","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",27.004466,-34.595534,-90.000000,top
"SW27","NO_BUTTON_K2-1102SP-E4SC-04","SW_SPST_PTS645",41.004466,-34.595534,-90.000000,top
